# Photoabsorption spectrum from real-time propagation
# GPAW version: 22.8.0
# Total time = 20.0000 fs, Time steps = [0.0000, 8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    9.600000    -0.0000000000e+00    -0.0000000000e+00     5.8262626879e-01
    9.650000    -0.0000000000e+00    -0.0000000000e+00     6.2479641536e-01
    9.700000    -0.0000000000e+00    -0.0000000000e+00     6.6443324501e-01
    9.750000    -0.0000000000e+00    -0.0000000000e+00     6.9910555175e-01
    9.800000    -0.0000000000e+00    -0.0000000000e+00     7.2771743289e-01
    9.850000    -0.0000000000e+00    -0.0000000000e+00     7.5049594064e-01
    9.900000    -0.0000000000e+00    -0.0000000000e+00     7.6870108016e-01
    9.950000    -0.0000000000e+00    -0.0000000000e+00     7.8416364779e-01
   10.000000    -0.0000000000e+00    -0.0000000000e+00     7.9878075771e-01
   10.050000    -0.0000000000e+00    -0.0000000000e+00     8.1407570411e-01
   10.100000    -0.0000000000e+00    -0.0000000000e+00     8.3088415480e-01
   10.150000    -0.0000000000e+00    -0.0000000000e+00     8.4918827980e-01
   10.200000    -0.0000000000e+00    -0.0000000000e+00     8.6809437723e-01
   10.250000    -0.0000000000e+00    -0.0000000000e+00     8.8593519493e-01
   10.300000    -0.0000000000e+00    -0.0000000000e+00     9.0047164958e-01
   10.350000    -0.0000000000e+00    -0.0000000000e+00     9.0917000596e-01
   10.400000    -0.0000000000e+00    -0.0000000000e+00     9.0953771930e-01
   10.450000    -0.0000000000e+00    -0.0000000000e+00     8.9950384699e-01
   10.500000    -0.0000000000e+00    -0.0000000000e+00     8.7781520986e-01
   10.550000    -0.0000000000e+00    -0.0000000000e+00     8.4438632021e-01
   10.600000    -0.0000000000e+00    -0.0000000000e+00     8.0050932312e-01
   10.650000    -0.0000000000e+00    -0.0000000000e+00     7.4883067984e-01
   10.700000    -0.0000000000e+00    -0.0000000000e+00     6.9305174651e-01
   10.750000    -0.0000000000e+00    -0.0000000000e+00     6.3739639945e-01
   10.800000    -0.0000000000e+00    -0.0000000000e+00     5.8596836458e-01
   10.850000    -0.0000000000e+00    -0.0000000000e+00     5.4215127983e-01
   10.900000    -0.0000000000e+00    -0.0000000000e+00     5.0817253621e-01
   10.950000    -0.0000000000e+00    -0.0000000000e+00     4.8488319033e-01
   11.000000    -0.0000000000e+00    -0.0000000000e+00     4.7174587050e-01
   11.050000    -0.0000000000e+00    -0.0000000000e+00     4.6700164450e-01
   11.100000    -0.0000000000e+00    -0.0000000000e+00     4.6799965426e-01
   11.150000    -0.0000000000e+00    -0.0000000000e+00     4.7168380085e-01
   11.200000    -0.0000000000e+00    -0.0000000000e+00     4.7520306284e-01
   11.250000     0.0000000000e+00     0.0000000000e+00     4.7654339493e-01
   11.300000     0.0000000000e+00     0.0000000000e+00     4.7500920389e-01
   11.350000     0.0000000000e+00     0.0000000000e+00     4.7136984922e-01
   11.400000     0.0000000000e+00     0.0000000000e+00     4.6756766103e-01
   11.450000     0.0000000000e+00     0.0000000000e+00     4.6604092727e-01
   11.500000     0.0000000000e+00     0.0000000000e+00     4.6887876892e-01
   11.550000    -0.0000000000e+00    -0.0000000000e+00     4.7711065351e-01
   11.600000    -0.0000000000e+00    -0.0000000000e+00     4.9039198909e-01
   11.650000    -0.0000000000e+00    -0.0000000000e+00     5.0719401875e-01
   11.700000    -0.0000000000e+00    -0.0000000000e+00     5.2541250507e-01
   11.750000    -0.0000000000e+00    -0.0000000000e+00     5.4316197843e-01
   11.800000    -0.0000000000e+00    -0.0000000000e+00     5.5947594796e-01
   11.850000    -0.0000000000e+00    -0.0000000000e+00     5.7468987794e-01
   11.900000    -0.0000000000e+00    -0.0000000000e+00     5.9040195943e-01
   11.950000    -0.0000000000e+00    -0.0000000000e+00     6.0903544098e-01
   12.000000    -0.0000000000e+00    -0.0000000000e+00     6.3313094132e-01
   12.050000    -0.0000000000e+00    -0.0000000000e+00     6.6456506843e-01
   12.100000    -0.0000000000e+00    -0.0000000000e+00     7.0391861676e-01
   12.150000    -0.0000000000e+00    -0.0000000000e+00     7.5019442407e-01
   12.200000    -0.0000000000e+00    -0.0000000000e+00     8.0100027575e-01
   12.250000    -0.0000000000e+00    -0.0000000000e+00     8.5317108087e-01
   12.300000    -0.0000000000e+00    -0.0000000000e+00     9.0364499479e-01
   12.350000    -0.0000000000e+00    -0.0000000000e+00     9.5029588280e-01
   12.400000    -0.0000000000e+00    -0.0000000000e+00     9.9242064249e-01
   12.450000    -0.0000000000e+00    -0.0000000000e+00     1.0307007893e+00
   12.500000    -0.0000000000e+00    -0.0000000000e+00     1.0666564246e+00
   12.550000    -0.0000000000e+00    -0.0000000000e+00     1.1017983092e+00
   12.600000    -0.0000000000e+00    -0.0000000000e+00     1.1367796663e+00
   12.650000    -0.0000000000e+00    -0.0000000000e+00     1.1708262409e+00
   12.700000    -0.0000000000e+00    -0.0000000000e+00     1.2016145281e+00
   12.750000    -0.0000000000e+00    -0.0000000000e+00     1.2256351130e+00
   12.800000    -0.0000000000e+00    -0.0000000000e+00     1.2389649803e+00
   12.850000    -0.0000000000e+00    -0.0000000000e+00     1.2382873514e+00
   12.900000    -0.0000000000e+00    -0.0000000000e+00     1.2219296099e+00
   12.950000    -0.0000000000e+00    -0.0000000000e+00     1.1906436604e+00
   13.000000    -0.0000000000e+00    -0.0000000000e+00     1.1478610939e+00
   13.050000    -0.0000000000e+00    -0.0000000000e+00     1.0992550627e+00
   13.100000    -0.0000000000e+00    -0.0000000000e+00     1.0516328681e+00
   13.150000     0.0000000000e+00     0.0000000000e+00     1.0114110524e+00
   13.200000     0.0000000000e+00     0.0000000000e+00     9.8309357193e-01
   13.250000     0.0000000000e+00     0.0000000000e+00     9.6820236119e-01
   13.300000     0.0000000000e+00     0.0000000000e+00     9.6497799208e-01
   13.350000     0.0000000000e+00     0.0000000000e+00     9.6892781361e-01
   13.400000    -0.0000000000e+00    -0.0000000000e+00     9.7404379435e-01
   13.450000    -0.0000000000e+00    -0.0000000000e+00     9.7433074339e-01
   13.500000    -0.0000000000e+00    -0.0000000000e+00     9.6522550586e-01
   13.550000    -0.0000000000e+00    -0.0000000000e+00     9.4454946140e-01
   13.600000    -0.0000000000e+00    -0.0000000000e+00     9.1278808123e-01
   13.650000    -0.0000000000e+00    -0.0000000000e+00     8.7268661493e-01
   13.700000    -0.0000000000e+00    -0.0000000000e+00     8.2834055908e-01
   13.750000    -0.0000000000e+00    -0.0000000000e+00     7.8409316131e-01
   13.800000    -0.0000000000e+00    -0.0000000000e+00     7.4358674445e-01
   13.850000    -0.0000000000e+00    -0.0000000000e+00     7.0923200617e-01
   13.900000    -0.0000000000e+00    -0.0000000000e+00     6.8218476723e-01
   13.950000    -0.0000000000e+00    -0.0000000000e+00     6.6272117857e-01
   14.000000    -0.0000000000e+00    -0.0000000000e+00     6.5076374432e-01
   14.050000    -0.0000000000e+00    -0.0000000000e+00     6.4628757677e-01
   14.100000    -0.0000000000e+00    -0.0000000000e+00     6.4942759544e-01
   14.150000    -0.0000000000e+00    -0.0000000000e+00     6.6025925664e-01
   14.200000    -0.0000000000e+00    -0.0000000000e+00     6.7836737453e-01
   14.250000    -0.0000000000e+00    -0.0000000000e+00     7.0240037636e-01
   14.300000    -0.0000000000e+00    -0.0000000000e+00     7.2981724802e-01
   14.350000    -0.0000000000e+00    -0.0000000000e+00     7.5698177899e-01
   14.400000    -0.0000000000e+00    -0.0000000000e+00     7.7966005370e-01
   14.450000    -0.0000000000e+00    -0.0000000000e+00     7.9385109163e-01
   14.500000    -0.0000000000e+00    -0.0000000000e+00     7.9675635565e-01
   14.550000     0.0000000000e+00     0.0000000000e+00     7.8761421114e-01
   14.600000     0.0000000000e+00     0.0000000000e+00     7.6813024312e-01
   14.650000     0.0000000000e+00     0.0000000000e+00     7.4233422488e-01
   14.700000     0.0000000000e+00     0.0000000000e+00     7.1585733370e-01
   14.750000     0.0000000000e+00     0.0000000000e+00     6.9478829019e-01
   14.800000     0.0000000000e+00     0.0000000000e+00     6.8437776790e-01
   14.850000     0.0000000000e+00     0.0000000000e+00     6.8789007512e-01
   14.900000     0.0000000000e+00     0.0000000000e+00     7.0585637522e-01
   14.950000     0.0000000000e+00     0.0000000000e+00     7.3588891276e-01
   15.000000     0.0000000000e+00     0.0000000000e+00     7.7309610815e-01
   15.050000     0.0000000000e+00     0.0000000000e+00     8.1101455163e-01
   15.100000     0.0000000000e+00     0.0000000000e+00     8.4286539141e-01
   15.150000     0.0000000000e+00     0.0000000000e+00     8.6287071398e-01
   15.200000     0.0000000000e+00     0.0000000000e+00     8.6734941625e-01
   15.250000     0.0000000000e+00     0.0000000000e+00     8.5536035565e-01
